date,close
2014-01-20,1.019
2014-01-21,1.031
2014-01-22,1.062
2014-01-23,1.07
2014-01-24,1.087
2014-01-27,1.086
2014-01-28,1.084
2014-01-29,1.092
2014-01-30,1.086
2014-02-07,1.107
2014-02-10,1.139
2014-02-11,1.142
2014-02-12,1.154
2014-02-13,1.137
2014-02-14,1.156
2014-02-17,1.178
2014-02-18,1.175
2014-02-19,1.176
2014-02-20,1.159
2014-02-21,1.152
2014-02-24,1.147
2014-02-25,1.107
2014-02-26,1.113
2014-02-27,1.098
2014-02-28,1.11
2014-03-03,1.133
2014-03-04,1.132
2014-03-05,1.126
2014-03-06,1.125
2014-03-07,1.121
2014-03-10,1.079
2014-03-11,1.08
2014-03-12,1.08
2014-03-13,1.092
2014-03-14,1.085
2014-03-17,1.109
2014-03-18,1.115
2014-03-19,1.111
2014-03-20,1.083
2014-03-21,1.103
2014-03-24,1.113
2014-03-25,1.113
2014-03-26,1.117
2014-03-27,1.102
2014-03-28,1.078
2014-03-31,1.072
2014-04-01,1.089
2014-04-02,1.09
2014-04-03,1.088
2014-04-04,1.099
2014-04-08,1.112
2014-04-09,1.122
2014-04-10,1.127
2014-04-11,1.122
2014-04-14,1.131
2014-04-15,1.123
2014-04-16,1.122
2014-04-17,1.121
2014-04-18,1.126
2014-04-21,1.107
2014-04-22,1.101
2014-04-23,1.096
2014-04-24,1.085
2014-04-25,1.061
2014-04-28,1.029
2014-04-29,1.043
2014-04-30,1.051
2014-05-05,1.06
2014-05-06,1.064
2014-05-07,1.047
2014-05-08,1.048
2014-05-09,1.038
2014-05-12,1.065
2014-05-13,1.063
2014-05-14,1.06
2014-05-15,1.043
2014-05-16,1.041
2014-05-19,1.033
2014-05-20,1.038
2014-05-21,1.047
2014-05-22,1.047
2014-05-23,1.06
2014-05-26,1.071
2014-05-27,1.067
2014-05-28,1.08
2014-05-29,1.068
2014-05-30,1.071
2014-06-03,1.068
2014-06-04,1.06
2014-06-05,1.072
2014-06-06,1.069
2014-06-09,1.061
2014-06-10,1.075
2014-06-11,1.08
2014-06-12,1.078
2014-06-13,1.09
2014-06-16,1.095
2014-06-17,1.086
2014-06-18,1.081
2014-06-19,1.051
2014-06-20,1.061
2014-06-23,1.069
2014-06-24,1.076
2014-06-25,1.07
2014-06-26,1.084
2014-06-27,1.09
2014-06-30,1.101
2014-07-01,1.109
2014-07-02,1.117
2014-07-03,1.128
2014-07-04,1.125
2014-07-07,1.127
2014-07-08,1.135
2014-07-09,1.118
2014-07-10,1.117
2014-07-11,1.132
2014-07-14,1.148
2014-07-15,1.15
2014-07-16,1.141
2014-07-17,1.133
2014-07-18,1.135
2014-07-21,1.132
2014-07-22,1.148
2014-07-23,1.14
2014-07-24,1.139
2014-07-25,1.149
2014-07-28,1.169
2014-07-29,1.18
2014-07-30,1.182
2014-07-31,1.196
2014-08-01,1.185
2014-08-04,1.201
2014-08-05,1.206
2014-08-06,1.215
2014-08-07,1.204
2014-08-08,1.21
2014-08-11,1.229
2014-08-12,1.236
2014-08-13,1.236
2014-08-14,1.228
2014-08-15,1.243
2014-08-18,1.261
2014-08-19,1.264
2014-08-20,1.264
2014-08-21,1.262
2014-08-22,1.27
2014-08-25,1.26
2014-08-26,1.24
2014-08-27,1.241
2014-08-28,1.23
2014-08-29,1.245
2014-09-01,1.266
2014-09-02,1.286
2014-09-03,1.296
2014-09-04,1.305
2014-09-05,1.311
2014-09-09,1.321
2014-09-10,1.323
2014-09-11,1.321
2014-09-12,1.337
2014-09-15,1.349
2014-09-16,1.305
2014-09-17,1.316
2014-09-18,1.325
2014-09-19,1.337
2014-09-22,1.318
2014-09-23,1.336
2014-09-24,1.354
2014-09-25,1.352
2014-09-26,1.357
2014-09-29,1.372
2014-09-30,1.381
2014-10-08,1.405
2014-10-09,1.406
2014-10-10,1.399
2014-10-13,1.4
2014-10-14,1.394
2014-10-15,1.4
2014-10-16,1.379
2014-10-17,1.365
2014-10-20,1.384
2014-10-21,1.371
2014-10-22,1.354
2014-10-23,1.337
2014-10-24,1.341
2014-10-27,1.351
2014-10-28,1.383
2014-10-29,1.404
2014-10-30,1.401
2014-10-31,1.402
2014-11-03,1.413
2014-11-04,1.405
2014-11-05,1.403
2014-11-06,1.413
2014-11-07,1.398
2014-11-10,1.413
2014-11-11,1.37
2014-11-12,1.393
2014-11-13,1.382
2014-11-14,1.378
2014-11-17,1.393
2014-11-18,1.392
2014-11-19,1.399
2014-11-20,1.397
2014-11-21,1.413
2014-11-24,1.436
2014-11-25,1.457
2014-11-26,1.462
2014-11-27,1.474
2014-11-28,1.469
2014-12-01,1.462
2014-12-02,1.481
2014-12-03,1.5
2014-12-04,1.53
2014-12-05,1.499
2014-12-08,1.519
2014-12-09,1.457
2014-12-10,1.514
2014-12-11,1.533
2014-12-12,1.542
2014-12-15,1.567
2014-12-16,1.57
2014-12-17,1.558
2014-12-18,1.562
2014-12-19,1.548
2014-12-22,1.489
2014-12-23,1.456
2014-12-24,1.475
2014-12-25,1.504
2014-12-26,1.519
2014-12-29,1.496
2014-12-30,1.47
2014-12-31,1.489
2015-01-05,1.513
2015-01-06,1.536
2015-01-07,1.537
2015-01-08,1.523
2015-01-09,1.515
2015-01-12,1.493
2015-01-13,1.514
2015-01-14,1.508
2015-01-15,1.533
2015-01-16,1.547
2015-01-19,1.48
2015-01-20,1.532
2015-01-21,1.57
2015-01-22,1.596
2015-01-23,1.581
2015-01-26,1.615
2015-01-27,1.619
2015-01-28,1.611
2015-01-29,1.601
2015-01-30,1.582
2015-02-02,1.575
2015-02-03,1.604
2015-02-04,1.596
2015-02-05,1.585
2015-02-06,1.554
2015-02-09,1.545
2015-02-10,1.564
2015-02-11,1.581
2015-02-12,1.594
2015-02-13,1.619
2015-02-16,1.651
2015-02-17,1.659
2015-02-25,1.655
2015-02-26,1.675
2015-02-27,1.692
2015-03-02,1.728
2015-03-03,1.716
2015-03-04,1.749
2015-03-05,1.745
2015-03-06,1.72
2015-03-09,1.749
2015-03-10,1.759
2015-03-11,1.758
2015-03-12,1.756
2015-03-13,1.778
2015-03-16,1.835
2015-03-17,1.86
2015-03-18,1.889
2015-03-19,1.908
2015-03-20,1.925
2015-03-23,1.999
2015-03-24,1.981
2015-03-25,1.999
2015-03-26,1.983
2015-03-27,2.015
2015-03-30,2.05
2015-03-31,2.042
2015-04-01,2.095
2015-04-02,2.132
2015-04-03,2.164
2015-04-07,2.219
2015-04-08,2.187
2015-04-09,2.176
2015-04-10,2.243
2015-04-15,7.818
2015-04-16,7.887
2015-04-17,7.941
2015-04-20,7.821
2015-04-21,8.1
2015-04-22,8.35
2015-04-23,8.403
2015-04-24,8.432
2015-04-27,8.524
2015-04-28,8.269
2015-04-29,8.449
2015-04-30,8.503
2015-05-04,8.561
2015-05-05,8.24
2015-05-06,8.099
2015-05-07,7.929
2015-05-08,8.28
2015-05-11,8.714
2015-05-12,8.816
2015-05-13,8.897
2015-05-14,8.862
2015-05-15,8.812
2015-05-18,8.979
2015-05-19,9.207
2015-05-20,9.363
2015-05-21,9.788
2015-05-22,9.921
2015-05-25,10.101
2015-05-26,10.503
2015-05-27,10.619
2015-05-28,9.933
